logtime,scenario_time,type,module,address,value
535.675659,0,version,,,1.4.5
535.675752,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
535.676132,0,seed_value,communications,,9
535.676145,0,seed_output,communications,,OTL422
535.676203,0,seed_value,communications,,10
535.676211,0,seed_output,communications,,SBN790
535.676266,0,seed_value,communications,,12
535.676273,0,seed_output,communications,,PIV852
535.676328,0,seed_value,communications,,14
535.676335,0,seed_output,communications,,DTW834
535.676406,0,seed_value,communications,,16
535.676416,0,seed_output,communications,,LPP463
535.67647,0,seed_value,communications,,17
535.676477,0,seed_output,communications,,QNZ454
535.676525,0,seed_value,communications,,18
535.676532,0,seed_output,communications,,FDV753
535.676583,0,seed_value,communications,,20
535.67659,0,seed_output,communications,,XVZ241
535.676641,0,seed_value,communications,,22
535.676647,0,seed_output,communications,,EHA972
535.676668,0,seed_value,communications,,7
535.676673,0,seed_output,communications,,117.39115
535.676688,0,seed_value,communications,,8
535.676693,0,seed_output,communications,,114.57447
535.676708,0,seed_value,communications,,9
535.676712,0,seed_output,communications,,121.427213
535.676725,0,seed_value,communications,,10
535.67673,0,seed_output,communications,,124.570675
536.575018,0,dialog,,,OpenMATB end
536.604429,0.000234,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
536.604499,0.000234,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
536.620678,0.000234,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
536.620855,0.000234,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
536.622953,0.000234,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
536.62493,0.000234,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
536.625373,0.000234,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
536.627348,0.000234,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
536.629233,0.000234,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
536.631295,0.000234,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
536.631328,0.000234,parameter,sysmon,title,System monitoring
536.631337,0.000234,parameter,sysmon,taskplacement,topleft
536.631343,0.000234,parameter,sysmon,taskupdatetime,200
536.631351,0.000234,parameter,sysmon,taskfeedback-overdue-active,0
536.631359,0.000234,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
536.631366,0.000234,parameter,sysmon,taskfeedback-overdue-delayms,2000
536.631372,0.000234,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
536.631378,0.000234,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
536.631384,0.000234,parameter,sysmon,taskfeedback-overdue-_is_visible,0
536.63139,0.000234,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7da7fc132650>
536.6314,0.000234,parameter,sysmon,alerttimeout,10000
536.631406,0.000234,parameter,sysmon,automaticsolver,0
536.631412,0.000234,parameter,sysmon,automaticsolverdelay,1000
536.631418,0.000234,parameter,sysmon,displayautomationstate,1
536.631423,0.000234,parameter,sysmon,allowanykey,0
536.631429,0.000234,parameter,sysmon,allowmanualoverride,0
536.631434,0.000234,parameter,sysmon,feedbackduration,1500
