logtime,scenario_time,type,module,address,value
3582.743438,0,version,,,1.4.5
3582.743521,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
3582.743901,0,seed_value,communications,,37
3582.743915,0,seed_output,communications,,VTC980
3582.743963,0,seed_value,communications,,39
3582.743969,0,seed_output,communications,,GIM033
3582.74403,0,seed_value,communications,,40
3582.744037,0,seed_output,communications,,OSQ034
3582.744083,0,seed_value,communications,,42
3582.744089,0,seed_output,communications,,UDA433
3582.744128,0,seed_value,communications,,43
3582.744133,0,seed_output,communications,,BJW275
3582.744228,0,seed_value,communications,,45
3582.744243,0,seed_output,communications,,INP414
3582.74429,0,seed_value,communications,,46
3582.744296,0,seed_output,communications,,CMB993
3582.744338,0,seed_value,communications,,47
3582.744343,0,seed_output,communications,,LCN879
3582.744385,0,seed_value,communications,,49
3582.74439,0,seed_output,communications,,CLN158
3582.744432,0,seed_value,communications,,51
3582.744438,0,seed_output,communications,,HQR233
3582.744476,0,seed_value,communications,,52
3582.744481,0,seed_output,communications,,IBX875
3582.744497,0,seed_value,communications,,35
3582.744502,0,seed_output,communications,,123.912144
3582.744514,0,seed_value,communications,,36
3582.744518,0,seed_output,communications,,117.532315
3582.744528,0,seed_value,communications,,37
3582.744533,0,seed_output,communications,,127.778132
3582.744543,0,seed_value,communications,,38
3582.744546,0,seed_output,communications,,126.544737
3583.801297,0,dialog,,,OpenMATB end
3583.828252,0.000469,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
3583.828291,0.000469,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
3583.843659,0.000469,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
3583.843815,0.000469,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
3583.845652,0.000469,aoi,sysmon,scale1,"(47.6352, 951.0, 84.84479999999999, 681.0)"
3583.847551,0.000469,aoi,sysmon,scale2,"(157.0752, 951.0, 194.2848, 681.0)"
3583.847912,0.000469,aoi,sysmon,scale3,"(266.5152, 951.0, 303.7248, 681.0)"
3583.849783,0.000469,aoi,sysmon,scale4,"(375.95519999999993, 951.0, 413.16479999999996, 681.0)"
3583.851634,0.000469,aoi,sysmon,light1,"(46.54079999999999, 1075.2, 195.3792, 1005.0)"
3583.853476,0.000469,aoi,sysmon,light2,"(265.42080000000004, 1075.2, 414.2592000000001, 1005.0)"
3583.853498,0.000469,parameter,sysmon,title,System monitoring
3583.853505,0.000469,parameter,sysmon,taskplacement,topleft
3583.85351,0.000469,parameter,sysmon,taskupdatetime,200
3583.853516,0.000469,parameter,sysmon,taskfeedback-overdue-active,0
3583.853522,0.000469,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
3583.853527,0.000469,parameter,sysmon,taskfeedback-overdue-delayms,2000
3583.853532,0.000469,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
3583.853536,0.000469,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
3583.853541,0.000469,parameter,sysmon,taskfeedback-overdue-_is_visible,0
3583.853546,0.000469,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x74214412d900>
3583.853552,0.000469,parameter,sysmon,alerttimeout,10000
3583.853556,0.000469,parameter,sysmon,automaticsolver,0
3583.853561,0.000469,parameter,sysmon,automaticsolverdelay,1000
