logtime,scenario_time,type,module,address,value
1861.608048,0,version,,,1.4.5
1861.608132,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
1861.608421,0,seed_value,communications,,26
1861.60843,0,seed_output,communications,,XGV369
1861.60848,0,seed_value,communications,,28
1861.608486,0,seed_output,communications,,DXE892
1861.608531,0,seed_value,communications,,30
1861.608537,0,seed_output,communications,,RZJ909
1861.608579,0,seed_value,communications,,31
1861.608585,0,seed_output,communications,,APD620
1861.608628,0,seed_value,communications,,33
1861.608634,0,seed_output,communications,,SFU347
1861.608676,0,seed_value,communications,,35
1861.608682,0,seed_output,communications,,RKY252
1861.608722,0,seed_value,communications,,36
1861.608728,0,seed_output,communications,,KBA410
1861.608771,0,seed_value,communications,,38
1861.608777,0,seed_output,communications,,UNN115
1861.608817,0,seed_value,communications,,39
1861.608822,0,seed_output,communications,,GIM033
1861.608983,0,seed_value,communications,,40
1861.609004,0,seed_output,communications,,OSQ034
1861.609032,0,seed_value,communications,,24
1861.609038,0,seed_output,communications,,128.657947
1861.609052,0,seed_value,communications,,25
1861.609057,0,seed_output,communications,,118.931907
1861.609069,0,seed_value,communications,,26
1861.609073,0,seed_output,communications,,129.671447
1861.609085,0,seed_value,communications,,27
1861.609089,0,seed_output,communications,,126.806419
1862.518095,0,dialog,,,OpenMATB end
1862.546886,0.000251,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
1862.546923,0.000251,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
1862.564588,0.000251,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
1862.564756,0.000251,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
1862.56681,0.000251,aoi,sysmon,scale1,"(47.6352, 951.0, 84.84479999999999, 681.0)"
1862.568796,0.000251,aoi,sysmon,scale2,"(157.0752, 951.0, 194.2848, 681.0)"
1862.569191,0.000251,aoi,sysmon,scale3,"(266.5152, 951.0, 303.7248, 681.0)"
1862.571423,0.000251,aoi,sysmon,scale4,"(375.95519999999993, 951.0, 413.16479999999996, 681.0)"
1862.573376,0.000251,aoi,sysmon,light1,"(46.54079999999999, 1075.2, 195.3792, 1005.0)"
1862.575579,0.000251,aoi,sysmon,light2,"(265.42080000000004, 1075.2, 414.2592000000001, 1005.0)"
1862.575604,0.000251,parameter,sysmon,title,System monitoring
1862.575612,0.000251,parameter,sysmon,taskplacement,topleft
1862.575617,0.000251,parameter,sysmon,taskupdatetime,200
1862.575624,0.000251,parameter,sysmon,taskfeedback-overdue-active,0
1862.575631,0.000251,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1862.575637,0.000251,parameter,sysmon,taskfeedback-overdue-delayms,2000
1862.575641,0.000251,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
1862.575646,0.000251,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
1862.57565,0.000251,parameter,sysmon,taskfeedback-overdue-_is_visible,0
1862.575656,0.000251,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7bb3f0b65810>
1862.575662,0.000251,parameter,sysmon,alerttimeout,10000
1862.575667,0.000251,parameter,sysmon,automaticsolver,0
1862.575671,0.000251,parameter,sysmon,automaticsolverdelay,1000
1862.575676,0.000251,parameter,sysmon,displayautomationstate,1
1862.57568,0.000251,parameter,sysmon,allowanykey,0
1862.575685,0.000251,parameter,sysmon,allowmanualoverride,0
1862.575689,0.000251,parameter,sysmon,feedbackduration,1500
1862.575694,0.000251,parameter,sysmon,feedbacks-positive-active,1
1862.575699,0.000251,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
1862.575704,0.000251,parameter,sysmon,feedbacks-negative-active,1
1862.575708,0.000251,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
1862.575714,0.000251,parameter,sysmon,lights-1-name,F5
1862.575718,0.000251,parameter,sysmon,lights-1-failure,0
1862.575723,0.000251,parameter,sysmon,lights-1-default,on
1862.575727,0.000251,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
1862.575733,0.000251,parameter,sysmon,lights-1-key,F5
1862.575738,0.000251,parameter,sysmon,lights-1-on,1
1862.575742,0.000251,parameter,sysmon,lights-1-_failuretimer,
1862.575746,0.000251,parameter,sysmon,lights-1-_onfailure,0
1862.57575,0.000251,parameter,sysmon,lights-1-_milliresponsetime,0
1862.575755,0.000251,parameter,sysmon,lights-1-_freezetimer,
1862.57576,0.000251,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x7bb3d6ee9ed0>
1862.575766,0.000251,parameter,sysmon,lights-2-name,F6
1862.57577,0.000251,parameter,sysmon,lights-2-failure,0
1862.575774,0.000251,parameter,sysmon,lights-2-default,off
1862.575778,0.000251,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
1862.575783,0.000251,parameter,sysmon,lights-2-key,F6
1862.575788,0.000251,parameter,sysmon,lights-2-on,0
1862.575792,0.000251,parameter,sysmon,lights-2-_failuretimer,
1862.575797,0.000251,parameter,sysmon,lights-2-_onfailure,0
1862.575801,0.000251,parameter,sysmon,lights-2-_milliresponsetime,0
1862.575805,0.000251,parameter,sysmon,lights-2-_freezetimer,
1862.575809,0.000251,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x7bb3d6eeb8e0>
1862.575815,0.000251,parameter,sysmon,scales-1-name,F1
1862.575819,0.000251,parameter,sysmon,scales-1-failure,0
1862.575823,0.000251,parameter,sysmon,scales-1-side,0
1862.575827,0.000251,parameter,sysmon,scales-1-key,F1
1862.575832,0.000251,parameter,sysmon,scales-1-_failuretimer,
1862.575836,0.000251,parameter,sysmon,scales-1-_onfailure,0
1862.57584,0.000251,parameter,sysmon,scales-1-_milliresponsetime,0
1862.575844,0.000251,parameter,sysmon,scales-1-_freezetimer,
1862.575848,0.000251,parameter,sysmon,scales-1-_pos,5
1862.575853,0.000251,parameter,sysmon,scales-1-_zone,0
1862.575857,0.000251,parameter,sysmon,scales-1-_feedbacktimer,
1862.575861,0.000251,parameter,sysmon,scales-1-_feedbacktype,
1862.575866,0.000251,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x7bb3f0c05de0>
1862.575873,0.000251,parameter,sysmon,scales-2-name,F2
1862.575877,0.000251,parameter,sysmon,scales-2-failure,0
