logtime,scenario_time,type,module,address,value
177.224975,0,version,,,1.4.5
177.225413,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
177.225774,0,seed_value,communications,,7
177.225787,0,seed_output,communications,,KEM018
177.225853,0,seed_value,communications,,9
177.225861,0,seed_output,communications,,OTL422
177.225913,0,seed_value,communications,,10
177.22592,0,seed_output,communications,,SBN790
177.225976,0,seed_value,communications,,12
177.225983,0,seed_output,communications,,PIV852
177.226038,0,seed_value,communications,,14
177.226045,0,seed_output,communications,,DTW834
177.226097,0,seed_value,communications,,16
177.226104,0,seed_output,communications,,LPP463
177.226153,0,seed_value,communications,,17
177.22616,0,seed_output,communications,,QNZ454
177.22621,0,seed_value,communications,,18
177.226217,0,seed_output,communications,,FDV753
177.22627,0,seed_value,communications,,20
177.226277,0,seed_output,communications,,XVZ241
177.226297,0,seed_value,communications,,5
177.226303,0,seed_output,communications,,126.064149
177.226319,0,seed_value,communications,,6
177.226324,0,seed_output,communications,,131.006862
177.226338,0,seed_value,communications,,7
177.226343,0,seed_output,communications,,117.39115
177.226356,0,seed_value,communications,,8
177.226361,0,seed_output,communications,,114.57447
178.207341,0,dialog,,,OpenMATB end
178.238466,0.000287,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
178.238518,0.000287,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
178.257166,0.000287,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
178.257365,0.000287,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
178.259866,0.000287,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
178.262334,0.000287,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
178.262804,0.000287,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
178.264973,0.000287,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
178.267167,0.000287,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
178.26956,0.000287,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
178.269591,0.000287,parameter,sysmon,title,System monitoring
178.269601,0.000287,parameter,sysmon,taskplacement,topleft
178.269608,0.000287,parameter,sysmon,taskupdatetime,200
178.269616,0.000287,parameter,sysmon,taskfeedback-overdue-active,0
178.269626,0.000287,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
178.269633,0.000287,parameter,sysmon,taskfeedback-overdue-delayms,2000
178.26964,0.000287,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
178.269646,0.000287,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
178.269652,0.000287,parameter,sysmon,taskfeedback-overdue-_is_visible,0
178.269659,0.000287,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7d3f5ad0d930>
178.269667,0.000287,parameter,sysmon,alerttimeout,10000
178.269672,0.000287,parameter,sysmon,automaticsolver,0
178.269678,0.000287,parameter,sysmon,automaticsolverdelay,1000
178.269683,0.000287,parameter,sysmon,displayautomationstate,1
178.269689,0.000287,parameter,sysmon,allowanykey,0
178.269694,0.000287,parameter,sysmon,allowmanualoverride,0
178.269702,0.000287,parameter,sysmon,feedbackduration,1500
178.269708,0.000287,parameter,sysmon,feedbacks-positive-active,1
178.269714,0.000287,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
178.269721,0.000287,parameter,sysmon,feedbacks-negative-active,1
178.269727,0.000287,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
178.269734,0.000287,parameter,sysmon,lights-1-name,F5
178.269739,0.000287,parameter,sysmon,lights-1-failure,0
178.269745,0.000287,parameter,sysmon,lights-1-default,on
178.26975,0.000287,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
178.269757,0.000287,parameter,sysmon,lights-1-key,F5
178.269762,0.000287,parameter,sysmon,lights-1-on,1
178.269768,0.000287,parameter,sysmon,lights-1-_failuretimer,
178.269773,0.000287,parameter,sysmon,lights-1-_onfailure,0
178.269779,0.000287,parameter,sysmon,lights-1-_milliresponsetime,0
178.269785,0.000287,parameter,sysmon,lights-1-_freezetimer,
178.269791,0.000287,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x7d3f588b1e40>
178.269798,0.000287,parameter,sysmon,lights-2-name,F6
178.269803,0.000287,parameter,sysmon,lights-2-failure,0
178.269809,0.000287,parameter,sysmon,lights-2-default,off
178.269814,0.000287,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
178.26982,0.000287,parameter,sysmon,lights-2-key,F6
178.269826,0.000287,parameter,sysmon,lights-2-on,0
178.269832,0.000287,parameter,sysmon,lights-2-_failuretimer,
178.269837,0.000287,parameter,sysmon,lights-2-_onfailure,0
178.269843,0.000287,parameter,sysmon,lights-2-_milliresponsetime,0
178.269849,0.000287,parameter,sysmon,lights-2-_freezetimer,
178.269854,0.000287,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x7d3f588b3850>
178.269861,0.000287,parameter,sysmon,scales-1-name,F1
178.269867,0.000287,parameter,sysmon,scales-1-failure,0
178.269872,0.000287,parameter,sysmon,scales-1-side,0
178.269878,0.000287,parameter,sysmon,scales-1-key,F1
178.269884,0.000287,parameter,sysmon,scales-1-_failuretimer,
178.269889,0.000287,parameter,sysmon,scales-1-_onfailure,0
178.269897,0.000287,parameter,sysmon,scales-1-_milliresponsetime,0
178.269902,0.000287,parameter,sysmon,scales-1-_freezetimer,
178.269908,0.000287,parameter,sysmon,scales-1-_pos,5
178.269914,0.000287,parameter,sysmon,scales-1-_zone,0
178.26992,0.000287,parameter,sysmon,scales-1-_feedbacktimer,
178.269925,0.000287,parameter,sysmon,scales-1-_feedbacktype,
