logtime,scenario_time,type,module,address,value
1677.665901,0,version,,,1.4.5
1677.665978,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
1677.666261,0,seed_value,communications,,24
1677.66627,0,seed_output,communications,,WMS232
1677.666317,0,seed_value,communications,,25
1677.666323,0,seed_output,communications,,MYA347
1677.666368,0,seed_value,communications,,27
1677.666374,0,seed_output,communications,,UPW443
1677.666414,0,seed_value,communications,,28
1677.666419,0,seed_output,communications,,DXE892
1677.666462,0,seed_value,communications,,30
1677.666467,0,seed_output,communications,,RZJ909
1677.666506,0,seed_value,communications,,31
1677.666511,0,seed_output,communications,,APD620
1677.666551,0,seed_value,communications,,33
1677.666556,0,seed_output,communications,,SFU347
1677.666597,0,seed_value,communications,,35
1677.666602,0,seed_output,communications,,RKY252
1677.66664,0,seed_value,communications,,36
1677.666645,0,seed_output,communications,,KBA410
1677.666685,0,seed_value,communications,,38
1677.666691,0,seed_output,communications,,UNN115
1677.666727,0,seed_value,communications,,39
1677.666732,0,seed_output,communications,,GIM033
1677.666796,0,seed_value,communications,,40
1677.666803,0,seed_output,communications,,OSQ034
1677.666821,0,seed_value,communications,,22
1677.666826,0,seed_output,communications,,135.788072
1677.666838,0,seed_value,communications,,23
1677.666842,0,seed_output,communications,,134.821092
1677.666853,0,seed_value,communications,,24
1677.666857,0,seed_output,communications,,128.657947
1677.666868,0,seed_value,communications,,25
1677.666872,0,seed_output,communications,,118.931907
1678.549816,0,dialog,,,OpenMATB end
1678.578366,0.000245,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
1678.578402,0.000245,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
1678.594027,0.000245,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
1678.594188,0.000245,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
1678.59596,0.000245,aoi,sysmon,scale1,"(47.6352, 951.0, 84.84479999999999, 681.0)"
1678.597747,0.000245,aoi,sysmon,scale2,"(157.0752, 951.0, 194.2848, 681.0)"
1678.598129,0.000245,aoi,sysmon,scale3,"(266.5152, 951.0, 303.7248, 681.0)"
1678.599741,0.000245,aoi,sysmon,scale4,"(375.95519999999993, 951.0, 413.16479999999996, 681.0)"
1678.60138,0.000245,aoi,sysmon,light1,"(46.54079999999999, 1075.2, 195.3792, 1005.0)"
1678.603891,0.000245,aoi,sysmon,light2,"(265.42080000000004, 1075.2, 414.2592000000001, 1005.0)"
1678.603924,0.000245,parameter,sysmon,title,System monitoring
1678.603932,0.000245,parameter,sysmon,taskplacement,topleft
1678.603937,0.000245,parameter,sysmon,taskupdatetime,200
1678.603944,0.000245,parameter,sysmon,taskfeedback-overdue-active,0
1678.603951,0.000245,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1678.603956,0.000245,parameter,sysmon,taskfeedback-overdue-delayms,2000
1678.603961,0.000245,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
1678.603966,0.000245,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
1678.603971,0.000245,parameter,sysmon,taskfeedback-overdue-_is_visible,0
1678.603976,0.000245,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x74b15077e050>
1678.603983,0.000245,parameter,sysmon,alerttimeout,10000
1678.603987,0.000245,parameter,sysmon,automaticsolver,0
1678.603995,0.000245,parameter,sysmon,automaticsolverdelay,1000
1678.603999,0.000245,parameter,sysmon,displayautomationstate,1
1678.604019,0.000245,parameter,sysmon,allowanykey,0
1678.604024,0.000245,parameter,sysmon,allowmanualoverride,0
1678.604029,0.000245,parameter,sysmon,feedbackduration,1500
1678.604035,0.000245,parameter,sysmon,feedbacks-positive-active,1
1678.604039,0.000245,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
1678.604045,0.000245,parameter,sysmon,feedbacks-negative-active,1
1678.60405,0.000245,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
1678.604056,0.000245,parameter,sysmon,lights-1-name,F5
1678.60406,0.000245,parameter,sysmon,lights-1-failure,0
1678.604065,0.000245,parameter,sysmon,lights-1-default,on
1678.60407,0.000245,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
1678.604075,0.000245,parameter,sysmon,lights-1-key,F5
1678.604079,0.000245,parameter,sysmon,lights-1-on,1
1678.604084,0.000245,parameter,sysmon,lights-1-_failuretimer,
1678.604089,0.000245,parameter,sysmon,lights-1-_onfailure,0
1678.604094,0.000245,parameter,sysmon,lights-1-_milliresponsetime,0
1678.604099,0.000245,parameter,sysmon,lights-1-_freezetimer,
1678.604104,0.000245,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x74b15073db40>
1678.604111,0.000245,parameter,sysmon,lights-2-name,F6
1678.604115,0.000245,parameter,sysmon,lights-2-failure,0
1678.60412,0.000245,parameter,sysmon,lights-2-default,off
1678.604125,0.000245,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
1678.604132,0.000245,parameter,sysmon,lights-2-key,F6
1678.604137,0.000245,parameter,sysmon,lights-2-on,0
1678.604142,0.000245,parameter,sysmon,lights-2-_failuretimer,
1678.604147,0.000245,parameter,sysmon,lights-2-_onfailure,0
1678.604151,0.000245,parameter,sysmon,lights-2-_milliresponsetime,0
1678.604156,0.000245,parameter,sysmon,lights-2-_freezetimer,
1678.604161,0.000245,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x74b156cb6b00>
1678.604167,0.000245,parameter,sysmon,scales-1-name,F1
1678.604171,0.000245,parameter,sysmon,scales-1-failure,0
1678.604176,0.000245,parameter,sysmon,scales-1-side,0
1678.604181,0.000245,parameter,sysmon,scales-1-key,F1
1678.604186,0.000245,parameter,sysmon,scales-1-_failuretimer,
1678.60419,0.000245,parameter,sysmon,scales-1-_onfailure,0
1678.604196,0.000245,parameter,sysmon,scales-1-_milliresponsetime,0
1678.604201,0.000245,parameter,sysmon,scales-1-_freezetimer,
1678.604205,0.000245,parameter,sysmon,scales-1-_pos,5
1678.60421,0.000245,parameter,sysmon,scales-1-_zone,0
1678.604214,0.000245,parameter,sysmon,scales-1-_feedbacktimer,
1678.604219,0.000245,parameter,sysmon,scales-1-_feedbacktype,
1678.604224,0.000245,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x74b1507419f0>
1678.604229,0.000245,parameter,sysmon,scales-2-name,F2
1678.604234,0.000245,parameter,sysmon,scales-2-failure,0
1678.604238,0.000245,parameter,sysmon,scales-2-side,0
1678.604243,0.000245,parameter,sysmon,scales-2-key,F2
1678.604247,0.000245,parameter,sysmon,scales-2-_failuretimer,
1678.604252,0.000245,parameter,sysmon,scales-2-_onfailure,0
1678.604256,0.000245,parameter,sysmon,scales-2-_milliresponsetime,0
1678.604261,0.000245,parameter,sysmon,scales-2-_freezetimer,
1678.604266,0.000245,parameter,sysmon,scales-2-_pos,5
1678.60427,0.000245,parameter,sysmon,scales-2-_zone,0
1678.604275,0.000245,parameter,sysmon,scales-2-_feedbacktimer,
1678.604279,0.000245,parameter,sysmon,scales-2-_feedbacktype,
1678.604283,0.000245,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x74b1507418a0>
1678.604289,0.000245,parameter,sysmon,scales-3-name,F3
1678.604293,0.000245,parameter,sysmon,scales-3-failure,0
1678.604298,0.000245,parameter,sysmon,scales-3-side,0
1678.604302,0.000245,parameter,sysmon,scales-3-key,F3
1678.604307,0.000245,parameter,sysmon,scales-3-_failuretimer,
1678.604311,0.000245,parameter,sysmon,scales-3-_onfailure,0
1678.604315,0.000245,parameter,sysmon,scales-3-_milliresponsetime,0
1678.60432,0.000245,parameter,sysmon,scales-3-_freezetimer,
1678.604325,0.000245,parameter,sysmon,scales-3-_pos,5
1678.604329,0.000245,parameter,sysmon,scales-3-_zone,0
1678.604333,0.000245,parameter,sysmon,scales-3-_feedbacktimer,
1678.604338,0.000245,parameter,sysmon,scales-3-_feedbacktype,
1678.604342,0.000245,parameter,sysmon,scales-3-widget,<core.widgets.scale.Scale object at 0x74b15073c6d0>
1678.606086,0.000245,parameter,sysmon,scales-4-name,F4
1678.606098,0.000245,parameter,sysmon,scales-4-failure,0
1678.606104,0.000245,parameter,sysmon,scales-4-side,0
1678.606108,0.000245,parameter,sysmon,scales-4-key,F4
1678.606113,0.000245,parameter,sysmon,scales-4-_failuretimer,
