logtime,scenario_time,type,module,address,value
1252.374205,0,version,,,1.4.5
1252.374282,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
1252.374591,0,seed_value,communications,,22
1252.3746,0,seed_output,communications,,EHA972
1252.374652,0,seed_value,communications,,24
1252.374659,0,seed_output,communications,,WMS232
1252.3747,0,seed_value,communications,,25
1252.374706,0,seed_output,communications,,MYA347
1252.374749,0,seed_value,communications,,27
1252.374755,0,seed_output,communications,,UPW443
1252.374793,0,seed_value,communications,,28
1252.374798,0,seed_output,communications,,DXE892
1252.374841,0,seed_value,communications,,30
1252.374847,0,seed_output,communications,,RZJ909
1252.374884,0,seed_value,communications,,31
1252.37489,0,seed_output,communications,,APD620
1252.374931,0,seed_value,communications,,33
1252.374936,0,seed_output,communications,,SFU347
1252.374977,0,seed_value,communications,,35
1252.374983,0,seed_output,communications,,RKY252
1252.375021,0,seed_value,communications,,36
1252.375026,0,seed_output,communications,,KBA410
1252.375043,0,seed_value,communications,,20
1252.375048,0,seed_output,communications,,134.263551
1252.375136,0,seed_value,communications,,21
1252.375191,0,seed_output,communications,,112.783535
1252.37521,0,seed_value,communications,,22
1252.375216,0,seed_output,communications,,135.788072
1252.375227,0,seed_value,communications,,23
1252.375232,0,seed_output,communications,,134.821092
1253.200464,0,dialog,,,OpenMATB end
1253.225881,0.000266,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
1253.22592,0.000266,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
1253.239265,0.000266,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
1253.239489,0.000266,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
1253.243384,0.000266,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
1253.245087,0.000266,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
1253.245473,0.000266,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
1253.247112,0.000266,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
1253.248836,0.000266,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
1253.25051,0.000266,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
1253.250535,0.000266,parameter,sysmon,title,System monitoring
1253.250543,0.000266,parameter,sysmon,taskplacement,topleft
1253.250548,0.000266,parameter,sysmon,taskupdatetime,200
1253.250556,0.000266,parameter,sysmon,taskfeedback-overdue-active,0
1253.250562,0.000266,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1253.250568,0.000266,parameter,sysmon,taskfeedback-overdue-delayms,2000
1253.250573,0.000266,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
1253.250578,0.000266,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
1253.250585,0.000266,parameter,sysmon,taskfeedback-overdue-_is_visible,0
1253.25059,0.000266,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7940b2f5a0e0>
1253.250598,0.000266,parameter,sysmon,alerttimeout,10000
1253.250603,0.000266,parameter,sysmon,automaticsolver,0
1253.250608,0.000266,parameter,sysmon,automaticsolverdelay,1000
1253.250613,0.000266,parameter,sysmon,displayautomationstate,1
1253.250618,0.000266,parameter,sysmon,allowanykey,0
1253.250623,0.000266,parameter,sysmon,allowmanualoverride,0
1253.250628,0.000266,parameter,sysmon,feedbackduration,1500
1253.250634,0.000266,parameter,sysmon,feedbacks-positive-active,1
1253.250639,0.000266,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
1253.250645,0.000266,parameter,sysmon,feedbacks-negative-active,1
1253.25065,0.000266,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
1253.250656,0.000266,parameter,sysmon,lights-1-name,F5
1253.250661,0.000266,parameter,sysmon,lights-1-failure,0
1253.250667,0.000266,parameter,sysmon,lights-1-default,on
1253.250671,0.000266,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
1253.250676,0.000266,parameter,sysmon,lights-1-key,F5
1253.250681,0.000266,parameter,sysmon,lights-1-on,1
1253.250686,0.000266,parameter,sysmon,lights-1-_failuretimer,
1253.250691,0.000266,parameter,sysmon,lights-1-_onfailure,0
1253.2507,0.000266,parameter,sysmon,lights-1-_milliresponsetime,0
1253.250705,0.000266,parameter,sysmon,lights-1-_freezetimer,
1253.25071,0.000266,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x7940b2f19ab0>
1253.250716,0.000266,parameter,sysmon,lights-2-name,F6
1253.250721,0.000266,parameter,sysmon,lights-2-failure,0
1253.250726,0.000266,parameter,sysmon,lights-2-default,off
1253.250731,0.000266,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
1253.250736,0.000266,parameter,sysmon,lights-2-key,F6
1253.250741,0.000266,parameter,sysmon,lights-2-on,0
1253.250746,0.000266,parameter,sysmon,lights-2-_failuretimer,
1253.25075,0.000266,parameter,sysmon,lights-2-_onfailure,0
1253.250755,0.000266,parameter,sysmon,lights-2-_milliresponsetime,0
1253.25076,0.000266,parameter,sysmon,lights-2-_freezetimer,
1253.250765,0.000266,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x7940cd4baa40>
1253.250771,0.000266,parameter,sysmon,scales-1-name,F1
1253.250776,0.000266,parameter,sysmon,scales-1-failure,0
1253.250781,0.000266,parameter,sysmon,scales-1-side,0
1253.250786,0.000266,parameter,sysmon,scales-1-key,F1
1253.25079,0.000266,parameter,sysmon,scales-1-_failuretimer,
1253.250795,0.000266,parameter,sysmon,scales-1-_onfailure,0
1253.250799,0.000266,parameter,sysmon,scales-1-_milliresponsetime,0
1253.250804,0.000266,parameter,sysmon,scales-1-_freezetimer,
1253.250809,0.000266,parameter,sysmon,scales-1-_pos,5
1253.250815,0.000266,parameter,sysmon,scales-1-_zone,0
1253.25082,0.000266,parameter,sysmon,scales-1-_feedbacktimer,
1253.250825,0.000266,parameter,sysmon,scales-1-_feedbacktype,
1253.25083,0.000266,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x7940b2f1d9c0>
1253.250836,0.000266,parameter,sysmon,scales-2-name,F2
1253.250841,0.000266,parameter,sysmon,scales-2-failure,0
1253.250845,0.000266,parameter,sysmon,scales-2-side,0
1253.25085,0.000266,parameter,sysmon,scales-2-key,F2
1253.250854,0.000266,parameter,sysmon,scales-2-_failuretimer,
1253.250859,0.000266,parameter,sysmon,scales-2-_onfailure,0
1253.250863,0.000266,parameter,sysmon,scales-2-_milliresponsetime,0
1253.250868,0.000266,parameter,sysmon,scales-2-_freezetimer,
1253.250872,0.000266,parameter,sysmon,scales-2-_pos,5
1253.250877,0.000266,parameter,sysmon,scales-2-_zone,0
1253.250882,0.000266,parameter,sysmon,scales-2-_feedbacktimer,
1253.250887,0.000266,parameter,sysmon,scales-2-_feedbacktype,
1253.250891,0.000266,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x7940b2f1d810>
1253.250897,0.000266,parameter,sysmon,scales-3-name,F3
1253.250902,0.000266,parameter,sysmon,scales-3-failure,0
1253.250906,0.000266,parameter,sysmon,scales-3-side,0
1253.250911,0.000266,parameter,sysmon,scales-3-key,F3
1253.250915,0.000266,parameter,sysmon,scales-3-_failuretimer,
1253.25092,0.000266,parameter,sysmon,scales-3-_onfailure,0
1253.250924,0.000266,parameter,sysmon,scales-3-_milliresponsetime,0
1253.250929,0.000266,parameter,sysmon,scales-3-_freezetimer,
1253.250934,0.000266,parameter,sysmon,scales-3-_pos,5
1253.250938,0.000266,parameter,sysmon,scales-3-_zone,0
1253.250943,0.000266,parameter,sysmon,scales-3-_feedbacktimer,
1253.250947,0.000266,parameter,sysmon,scales-3-_feedbacktype,
1253.250952,0.000266,parameter,sysmon,scales-3-widget,<core.widgets.scale.Scale object at 0x7940b2f18700>
1253.250957,0.000266,parameter,sysmon,scales-4-name,F4
1253.250962,0.000266,parameter,sysmon,scales-4-failure,0
1253.250966,0.000266,parameter,sysmon,scales-4-side,0
1253.250971,0.000266,parameter,sysmon,scales-4-key,F4
1253.250975,0.000266,parameter,sysmon,scales-4-_failuretimer,
1253.25098,0.000266,parameter,sysmon,scales-4-_onfailure,0
1253.250985,0.000266,parameter,sysmon,scales-4-_milliresponsetime,0
1253.25099,0.000266,parameter,sysmon,scales-4-_freezetimer,
1253.250994,0.000266,parameter,sysmon,scales-4-_pos,5
1253.251075,0.000266,parameter,sysmon,scales-4-_zone,0
1253.251086,0.000266,parameter,sysmon,scales-4-_feedbacktimer,
1253.251093,0.000266,parameter,sysmon,scales-4-_feedbacktype,
1253.251099,0.000266,parameter,sysmon,scales-4-widget,<core.widgets.scale.Scale object at 0x7940b2f1b550>
1253.251693,0.000266,state,sysmon,"foreground, visibility",1
1253.25183,0.000266,state,sysmon,"overdue, visibility",1
1253.254797,0.000266,state,sysmon,"foreground, visibility",0
1253.254839,0.000266,state,sysmon,"overdue, visibility",0
1253.254861,0.000266,event,sysmon,self,start
1253.879746,0.000266,dialog,,,Warning end
1253.879912,0.008412,seed_value,sysmon,,23
1253.879923,0.008412,seed_output,sysmon,,1
1253.87994,0.008412,seed_value,sysmon,,24
1253.879946,0.008412,seed_output,sysmon,,1
1253.879959,0.008412,seed_value,sysmon,,25
1253.879964,0.008412,seed_output,sysmon,,1
1253.879976,0.008412,seed_value,sysmon,,26
1253.87998,0.008412,seed_output,sysmon,,-1
1253.886471,0.008412,state,sysmon,"automode, text",MANUAL
1253.886565,0.008412,state,sysmon,"scale1, arrow",6
1253.886581,0.008412,state,sysmon,"scale2, arrow",6
1253.886591,0.008412,state,sysmon,"scale3, arrow",6
1253.8866,0.008412,state,sysmon,"scale4, arrow",4
1253.886759,0.008412,aoi,track,foreground,"(576, 1140.0, 1248, 600.0)"
1253.886783,0.008412,aoi,track,overdue,"(576, 1140.0, 1248, 600.0)"
1253.891998,0.008412,aoi,track,task_title,"(576, 1200.0, 1248, 1140.0)"
1253.892218,0.008412,aoi,track,automode,"(775.9200000000001, 687.0, 876.72, 657.0)"
1253.892486,0.008412,aoi,track,reticle,"(696.0, 1086.0, 1128.0, 654.0)"
1253.892505,0.008412,parameter,track,title,Tracking
1253.892512,0.008412,parameter,track,taskplacement,topmid
1253.892517,0.008412,parameter,track,taskupdatetime,20
1253.892523,0.008412,parameter,track,taskfeedback-overdue-active,0
1253.892528,0.008412,parameter,track,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1253.892533,0.008412,parameter,track,taskfeedback-overdue-delayms,2000
1253.892537,0.008412,parameter,track,taskfeedback-overdue-blinkdurationms,1000
1253.892542,0.008412,parameter,track,taskfeedback-overdue-_nexttoggletime,0
1253.892547,0.008412,parameter,track,taskfeedback-overdue-_is_visible,0
1253.892551,0.008412,parameter,track,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7940b2f5a9e0>
1253.892558,0.008412,parameter,track,cursorcolor,"(50, 50, 50, 255)"
1253.892563,0.008412,parameter,track,cursorcoloroutside,"(241, 100, 100, 255)"
1253.892567,0.008412,parameter,track,automaticsolver,0
1253.892571,0.008412,parameter,track,displayautomationstate,1
1253.892576,0.008412,parameter,track,targetproportion,0.25
1253.89258,0.008412,parameter,track,joystickforce,1
1253.892584,0.008412,parameter,track,inverseaxis,0
1253.892588,0.008412,parameter,track,keyboardcontrol,0
1253.892789,0.008412,state,track,"foreground, visibility",1
1253.892854,0.008412,state,track,"overdue, visibility",1
1253.893374,0.008412,state,track,"foreground, visibility",0
1253.893409,0.008412,state,track,"overdue, visibility",0
1253.89342,0.008412,event,track,self,start
1253.893541,0.022058,performance,track,cursor_in_target,1
1253.893552,0.022058,performance,track,center_deviation,0.0
1253.893883,0.022058,state,track,"automode, text",MANUAL
1253.893952,0.022058,state,track,"reticle, cursor_relative","(1.7279712001439997, 2.073550233958317)"
1253.893962,0.022058,state,track,"reticle, cursor_proportional","(0.003999933333666666, 0.004799884800829438)"
1253.893996,0.022058,event,communications,voicegender,male
1253.901838,0.030287,event,communications,voiceidiom,english
1253.902031,0.030465,aoi,communications,foreground,"(0, 540.0, 614, 0.0)"
1253.902058,0.030465,aoi,communications,overdue,"(0, 540.0, 614, 0.0)"
1253.904368,0.030465,aoi,communications,task_title,"(0, 600.0, 614, 540.0)"
1253.904517,0.030465,aoi,communications,automode,"(260.95, 144.0, 353.04999999999995, 114.0)"
1253.912155,0.030465,aoi,communications,callsign,"(0, 540.0, 614, 0.0)"
1253.912193,0.030465,seed_value,communications,,20
1253.9122,0.030465,seed_output,communications,,1
1253.918794,0.030465,aoi,communications,radio_NAV_1,"(0, 388.8, 614, 345.6)"
1253.920644,0.030465,state,communications,"radio_NAV_2, selected",1
1253.920662,0.030465,aoi,communications,radio_NAV_2,"(0, 329.4, 614, 286.2)"
1253.922252,0.030465,aoi,communications,radio_COM_1,"(0, 270.0, 614, 226.8)"
1253.922708,0.030465,aoi,communications,radio_COM_2,"(0, 210.60000000000002, 614, 167.4)"
1253.922723,0.030465,parameter,communications,title,Communications
1253.92273,0.030465,parameter,communications,taskplacement,bottomleft
1253.922735,0.030465,parameter,communications,taskupdatetime,80
1253.922742,0.030465,parameter,communications,taskfeedback-overdue-active,0
1253.922748,0.030465,parameter,communications,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1253.922754,0.030465,parameter,communications,taskfeedback-overdue-delayms,2000
1253.922828,0.030465,parameter,communications,taskfeedback-overdue-blinkdurationms,1000
1253.922837,0.030465,parameter,communications,taskfeedback-overdue-_nexttoggletime,0
1253.922843,0.030465,parameter,communications,taskfeedback-overdue-_is_visible,0
1253.922848,0.030465,parameter,communications,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7940b2f3d6c0>
1253.922856,0.030465,parameter,communications,callsignregex,[A-Z][A-Z][A-Z]\d\d\d
1253.92286,0.030465,parameter,communications,owncallsign,EHA972
1253.922865,0.030465,parameter,communications,othercallsign,"['MYA347', 'DXE892', 'APD620', 'SFU347', 'KBA410']"
