logtime,scenario_time,type,module,address,value
1801.229463,0,version,,,1.4.5
1801.229548,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
1801.229867,0,seed_value,communications,,25
1801.229876,0,seed_output,communications,,MYA347
1801.229976,0,seed_value,communications,,27
1801.229995,0,seed_output,communications,,UPW443
1801.230055,0,seed_value,communications,,28
1801.230062,0,seed_output,communications,,DXE892
1801.230111,0,seed_value,communications,,30
1801.230117,0,seed_output,communications,,RZJ909
1801.230159,0,seed_value,communications,,31
1801.230165,0,seed_output,communications,,APD620
1801.230209,0,seed_value,communications,,33
1801.230215,0,seed_output,communications,,SFU347
1801.230258,0,seed_value,communications,,35
1801.230263,0,seed_output,communications,,RKY252
1801.230303,0,seed_value,communications,,36
1801.230308,0,seed_output,communications,,KBA410
1801.230351,0,seed_value,communications,,38
1801.230356,0,seed_output,communications,,UNN115
1801.230395,0,seed_value,communications,,39
1801.2304,0,seed_output,communications,,GIM033
1801.230439,0,seed_value,communications,,40
1801.230444,0,seed_output,communications,,OSQ034
1801.230464,0,seed_value,communications,,23
1801.230469,0,seed_output,communications,,134.821092
1801.230482,0,seed_value,communications,,24
1801.230486,0,seed_output,communications,,128.657947
1801.230498,0,seed_value,communications,,25
1801.230502,0,seed_output,communications,,118.931907
1801.230513,0,seed_value,communications,,26
1801.230517,0,seed_output,communications,,129.671447
1802.103546,0,dialog,,,OpenMATB end
1802.128348,0.000225,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
1802.128392,0.000225,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
1802.141203,0.000225,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
1802.141367,0.000225,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
1802.143107,0.000225,aoi,sysmon,scale1,"(47.6352, 951.0, 84.84479999999999, 681.0)"
1802.145001,0.000225,aoi,sysmon,scale2,"(157.0752, 951.0, 194.2848, 681.0)"
1802.145375,0.000225,aoi,sysmon,scale3,"(266.5152, 951.0, 303.7248, 681.0)"
1802.14718,0.000225,aoi,sysmon,scale4,"(375.95519999999993, 951.0, 413.16479999999996, 681.0)"
1802.14892,0.000225,aoi,sysmon,light1,"(46.54079999999999, 1075.2, 195.3792, 1005.0)"
1802.150512,0.000225,aoi,sysmon,light2,"(265.42080000000004, 1075.2, 414.2592000000001, 1005.0)"
1802.150537,0.000225,parameter,sysmon,title,System monitoring
1802.150545,0.000225,parameter,sysmon,taskplacement,topleft
1802.150551,0.000225,parameter,sysmon,taskupdatetime,200
1802.150558,0.000225,parameter,sysmon,taskfeedback-overdue-active,0
1802.150564,0.000225,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1802.15057,0.000225,parameter,sysmon,taskfeedback-overdue-delayms,2000
1802.150575,0.000225,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
1802.15058,0.000225,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
1802.150585,0.000225,parameter,sysmon,taskfeedback-overdue-_is_visible,0
1802.15059,0.000225,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x704834213d90>
1802.150597,0.000225,parameter,sysmon,alerttimeout,10000
1802.150602,0.000225,parameter,sysmon,automaticsolver,0
1802.150607,0.000225,parameter,sysmon,automaticsolverdelay,1000
1802.150611,0.000225,parameter,sysmon,displayautomationstate,1
1802.150616,0.000225,parameter,sysmon,allowanykey,0
1802.150621,0.000225,parameter,sysmon,allowmanualoverride,0
1802.150625,0.000225,parameter,sysmon,feedbackduration,1500
1802.150631,0.000225,parameter,sysmon,feedbacks-positive-active,1
1802.150636,0.000225,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
1802.150642,0.000225,parameter,sysmon,feedbacks-negative-active,1
1802.150646,0.000225,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
