logtime,scenario_time,type,module,address,value
1099.449605,0,version,,,1.4.5
1099.449688,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
1099.449961,0,seed_value,communications,,19
1099.44997,0,seed_output,communications,,VBZ818
1099.450015,0,seed_value,communications,,20
1099.450021,0,seed_output,communications,,XVZ241
1099.450066,0,seed_value,communications,,22
1099.450072,0,seed_output,communications,,EHA972
1099.450115,0,seed_value,communications,,24
1099.45012,0,seed_output,communications,,WMS232
1099.450159,0,seed_value,communications,,25
1099.450164,0,seed_output,communications,,MYA347
1099.450206,0,seed_value,communications,,27
1099.450223,0,seed_output,communications,,UPW443
1099.450265,0,seed_value,communications,,28
1099.450271,0,seed_output,communications,,DXE892
1099.450311,0,seed_value,communications,,30
1099.450316,0,seed_output,communications,,RZJ909
1099.450354,0,seed_value,communications,,31
1099.450359,0,seed_output,communications,,APD620
1099.450399,0,seed_value,communications,,33
1099.450404,0,seed_output,communications,,SFU347
1099.45042,0,seed_value,communications,,17
1099.450424,0,seed_output,communications,,123.137533
1099.45046,0,seed_value,communications,,18
1099.450466,0,seed_output,communications,,113.256681
1099.450477,0,seed_value,communications,,19
1099.450481,0,seed_output,communications,,127.636649
1099.450492,0,seed_value,communications,,20
1099.450495,0,seed_output,communications,,134.263551
1100.340191,0,dialog,,,OpenMATB end
1100.366462,0.008581,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
1100.3665,0.008581,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
1100.37964,0.008581,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
1100.379799,0.008581,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
1100.38144,0.008581,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
1100.383013,0.008581,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
1100.383394,0.008581,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
1100.385334,0.008581,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
1100.387362,0.008581,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
1100.389311,0.008581,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
1100.389337,0.008581,parameter,sysmon,title,System monitoring
1100.389346,0.008581,parameter,sysmon,taskplacement,topleft
1100.389352,0.008581,parameter,sysmon,taskupdatetime,200
1100.38936,0.008581,parameter,sysmon,taskfeedback-overdue-active,0
1100.389368,0.008581,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1100.389374,0.008581,parameter,sysmon,taskfeedback-overdue-delayms,2000
1100.38938,0.008581,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
1100.389387,0.008581,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
1100.389393,0.008581,parameter,sysmon,taskfeedback-overdue-_is_visible,0
1100.389399,0.008581,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x701166556260>
1100.389406,0.008581,parameter,sysmon,alerttimeout,10000
1100.389412,0.008581,parameter,sysmon,automaticsolver,0
1100.389417,0.008581,parameter,sysmon,automaticsolverdelay,1000
1100.389422,0.008581,parameter,sysmon,displayautomationstate,1
1100.389426,0.008581,parameter,sysmon,allowanykey,0
1100.389431,0.008581,parameter,sysmon,allowmanualoverride,0
1100.389436,0.008581,parameter,sysmon,feedbackduration,1500
1100.389442,0.008581,parameter,sysmon,feedbacks-positive-active,1
1100.389448,0.008581,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
1100.389454,0.008581,parameter,sysmon,feedbacks-negative-active,1
1100.389459,0.008581,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
1100.389466,0.008581,parameter,sysmon,lights-1-name,F5
1100.389471,0.008581,parameter,sysmon,lights-1-failure,0
1100.389476,0.008581,parameter,sysmon,lights-1-default,on
1100.389481,0.008581,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
1100.389486,0.008581,parameter,sysmon,lights-1-key,F5
1100.389491,0.008581,parameter,sysmon,lights-1-on,1
1100.389498,0.008581,parameter,sysmon,lights-1-_failuretimer,
1100.389504,0.008581,parameter,sysmon,lights-1-_onfailure,0
1100.389509,0.008581,parameter,sysmon,lights-1-_milliresponsetime,0
1100.389515,0.008581,parameter,sysmon,lights-1-_freezetimer,
1100.38952,0.008581,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x701166515ae0>
1100.389526,0.008581,parameter,sysmon,lights-2-name,F6
1100.389532,0.008581,parameter,sysmon,lights-2-failure,0
1100.389537,0.008581,parameter,sysmon,lights-2-default,off
1100.389542,0.008581,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
1100.389547,0.008581,parameter,sysmon,lights-2-key,F6
1100.389552,0.008581,parameter,sysmon,lights-2-on,0
1100.389557,0.008581,parameter,sysmon,lights-2-_failuretimer,
1100.389562,0.008581,parameter,sysmon,lights-2-_onfailure,0
1100.389568,0.008581,parameter,sysmon,lights-2-_milliresponsetime,0
1100.389573,0.008581,parameter,sysmon,lights-2-_freezetimer,
1100.389578,0.008581,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x701170ab6a70>
1100.389585,0.008581,parameter,sysmon,scales-1-name,F1
1100.389589,0.008581,parameter,sysmon,scales-1-failure,0
1100.389594,0.008581,parameter,sysmon,scales-1-side,0
1100.389599,0.008581,parameter,sysmon,scales-1-key,F1
1100.389604,0.008581,parameter,sysmon,scales-1-_failuretimer,
1100.389609,0.008581,parameter,sysmon,scales-1-_onfailure,0
1100.389614,0.008581,parameter,sysmon,scales-1-_milliresponsetime,0
1100.389619,0.008581,parameter,sysmon,scales-1-_freezetimer,
1100.389625,0.008581,parameter,sysmon,scales-1-_pos,5
1100.389632,0.008581,parameter,sysmon,scales-1-_zone,0
1100.389637,0.008581,parameter,sysmon,scales-1-_feedbacktimer,
1100.389642,0.008581,parameter,sysmon,scales-1-_feedbacktype,
1100.389647,0.008581,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x7011665199f0>
1100.389654,0.008581,parameter,sysmon,scales-2-name,F2
1100.389659,0.008581,parameter,sysmon,scales-2-failure,0
1100.389664,0.008581,parameter,sysmon,scales-2-side,0
1100.389669,0.008581,parameter,sysmon,scales-2-key,F2
1100.389674,0.008581,parameter,sysmon,scales-2-_failuretimer,
1100.389679,0.008581,parameter,sysmon,scales-2-_onfailure,0
1100.389684,0.008581,parameter,sysmon,scales-2-_milliresponsetime,0
1100.389688,0.008581,parameter,sysmon,scales-2-_freezetimer,
1100.389693,0.008581,parameter,sysmon,scales-2-_pos,5
1100.389698,0.008581,parameter,sysmon,scales-2-_zone,0
1100.389703,0.008581,parameter,sysmon,scales-2-_feedbacktimer,
1100.389708,0.008581,parameter,sysmon,scales-2-_feedbacktype,
1100.389713,0.008581,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x701166519840>
1100.389719,0.008581,parameter,sysmon,scales-3-name,F3
1100.389724,0.008581,parameter,sysmon,scales-3-failure,0
1100.389729,0.008581,parameter,sysmon,scales-3-side,0
1100.389734,0.008581,parameter,sysmon,scales-3-key,F3
