logtime,scenario_time,type,module,address,value
1918.418996,0,version,,,1.4.5
1918.419072,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
1918.419343,0,seed_value,communications,,27
1918.419352,0,seed_output,communications,,UPW443
1918.419399,0,seed_value,communications,,28
1918.419405,0,seed_output,communications,,DXE892
1918.41945,0,seed_value,communications,,30
1918.419456,0,seed_output,communications,,RZJ909
1918.419497,0,seed_value,communications,,31
1918.419503,0,seed_output,communications,,APD620
1918.419547,0,seed_value,communications,,33
1918.419552,0,seed_output,communications,,SFU347
1918.419593,0,seed_value,communications,,35
1918.419598,0,seed_output,communications,,RKY252
1918.419637,0,seed_value,communications,,36
1918.419643,0,seed_output,communications,,KBA410
1918.419685,0,seed_value,communications,,38
1918.419691,0,seed_output,communications,,UNN115
1918.41973,0,seed_value,communications,,39
1918.419753,0,seed_output,communications,,GIM033
1918.419798,0,seed_value,communications,,40
1918.419804,0,seed_output,communications,,OSQ034
1918.419847,0,seed_value,communications,,42
1918.419853,0,seed_output,communications,,UDA433
1918.419894,0,seed_value,communications,,43
1918.419899,0,seed_output,communications,,BJW275
1918.419916,0,seed_value,communications,,25
1918.419921,0,seed_output,communications,,118.931907
1918.419933,0,seed_value,communications,,26
1918.419937,0,seed_output,communications,,129.671447
1918.419948,0,seed_value,communications,,27
1918.419952,0,seed_output,communications,,126.806419
1918.419963,0,seed_value,communications,,28
1918.419967,0,seed_output,communications,,111.275758
1919.460211,0,dialog,,,OpenMATB end
1919.485892,0.000267,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
1919.485931,0.000267,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
1919.501019,0.000267,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
1919.501186,0.000267,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
1919.503155,0.000267,aoi,sysmon,scale1,"(47.6352, 951.0, 84.84479999999999, 681.0)"
1919.504968,0.000267,aoi,sysmon,scale2,"(157.0752, 951.0, 194.2848, 681.0)"
1919.505347,0.000267,aoi,sysmon,scale3,"(266.5152, 951.0, 303.7248, 681.0)"
1919.50715,0.000267,aoi,sysmon,scale4,"(375.95519999999993, 951.0, 413.16479999999996, 681.0)"
1919.508962,0.000267,aoi,sysmon,light1,"(46.54079999999999, 1075.2, 195.3792, 1005.0)"
1919.510758,0.000267,aoi,sysmon,light2,"(265.42080000000004, 1075.2, 414.2592000000001, 1005.0)"
1919.510785,0.000267,parameter,sysmon,title,System monitoring
1919.510793,0.000267,parameter,sysmon,taskplacement,topleft
1919.510798,0.000267,parameter,sysmon,taskupdatetime,200
1919.510805,0.000267,parameter,sysmon,taskfeedback-overdue-active,0
1919.510812,0.000267,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
1919.510817,0.000267,parameter,sysmon,taskfeedback-overdue-delayms,2000
1919.510822,0.000267,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
1919.510827,0.000267,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
1919.510832,0.000267,parameter,sysmon,taskfeedback-overdue-_is_visible,0
1919.510837,0.000267,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x74a1d0496050>
1919.510845,0.000267,parameter,sysmon,alerttimeout,10000
1919.510852,0.000267,parameter,sysmon,automaticsolver,0
1919.510856,0.000267,parameter,sysmon,automaticsolverdelay,1000
1919.510861,0.000267,parameter,sysmon,displayautomationstate,1
1919.510866,0.000267,parameter,sysmon,allowanykey,0
1919.51087,0.000267,parameter,sysmon,allowmanualoverride,0
1919.510875,0.000267,parameter,sysmon,feedbackduration,1500
1919.510881,0.000267,parameter,sysmon,feedbacks-positive-active,1
1919.510886,0.000267,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
1919.510893,0.000267,parameter,sysmon,feedbacks-negative-active,1
1919.510897,0.000267,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
1919.510903,0.000267,parameter,sysmon,lights-1-name,F5
1919.510908,0.000267,parameter,sysmon,lights-1-failure,0
1919.510912,0.000267,parameter,sysmon,lights-1-default,on
1919.510917,0.000267,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
1919.510922,0.000267,parameter,sysmon,lights-1-key,F5
1919.510926,0.000267,parameter,sysmon,lights-1-on,1
1919.510931,0.000267,parameter,sysmon,lights-1-_failuretimer,
1919.510935,0.000267,parameter,sysmon,lights-1-_onfailure,0
1919.510941,0.000267,parameter,sysmon,lights-1-_milliresponsetime,0
1919.510945,0.000267,parameter,sysmon,lights-1-_freezetimer,
1919.510951,0.000267,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x74a1d0455ae0>
1919.510957,0.000267,parameter,sysmon,lights-2-name,F6
1919.510962,0.000267,parameter,sysmon,lights-2-failure,0
1919.510967,0.000267,parameter,sysmon,lights-2-default,off
1919.510974,0.000267,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
1919.510979,0.000267,parameter,sysmon,lights-2-key,F6
1919.510984,0.000267,parameter,sysmon,lights-2-on,0
1919.510989,0.000267,parameter,sysmon,lights-2-_failuretimer,
1919.510993,0.000267,parameter,sysmon,lights-2-_onfailure,0
1919.510998,0.000267,parameter,sysmon,lights-2-_milliresponsetime,0
1919.511003,0.000267,parameter,sysmon,lights-2-_freezetimer,
1919.511008,0.000267,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x74a1d21a6a70>
1919.511014,0.000267,parameter,sysmon,scales-1-name,F1
1919.511019,0.000267,parameter,sysmon,scales-1-failure,0
1919.511024,0.000267,parameter,sysmon,scales-1-side,0
1919.511028,0.000267,parameter,sysmon,scales-1-key,F1
1919.511033,0.000267,parameter,sysmon,scales-1-_failuretimer,
1919.511037,0.000267,parameter,sysmon,scales-1-_onfailure,0
1919.511042,0.000267,parameter,sysmon,scales-1-_milliresponsetime,0
1919.511046,0.000267,parameter,sysmon,scales-1-_freezetimer,
1919.511051,0.000267,parameter,sysmon,scales-1-_pos,5
1919.511057,0.000267,parameter,sysmon,scales-1-_zone,0
1919.511062,0.000267,parameter,sysmon,scales-1-_feedbacktimer,
1919.511067,0.000267,parameter,sysmon,scales-1-_feedbacktype,
1919.511072,0.000267,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x74a1d04599c0>
1919.511078,0.000267,parameter,sysmon,scales-2-name,F2
1919.511082,0.000267,parameter,sysmon,scales-2-failure,0
1919.511087,0.000267,parameter,sysmon,scales-2-side,0
1919.511092,0.000267,parameter,sysmon,scales-2-key,F2
1919.511096,0.000267,parameter,sysmon,scales-2-_failuretimer,
1919.5111,0.000267,parameter,sysmon,scales-2-_onfailure,0
1919.511105,0.000267,parameter,sysmon,scales-2-_milliresponsetime,0
1919.51111,0.000267,parameter,sysmon,scales-2-_freezetimer,
1919.511114,0.000267,parameter,sysmon,scales-2-_pos,5
1919.511119,0.000267,parameter,sysmon,scales-2-_zone,0
1919.511123,0.000267,parameter,sysmon,scales-2-_feedbacktimer,
1919.511128,0.000267,parameter,sysmon,scales-2-_feedbacktype,
