logtime,scenario_time,type,module,address,value
36454.296887,0,version,,,1.4.5
36454.29697,0,scenario_path,,,includes/scenarios/transparency_transparent.txt
36454.297273,0,seed_value,communications,,5
36454.297282,0,seed_output,communications,,TIX580
36454.297332,0,seed_value,communications,,7
36454.297337,0,seed_output,communications,,KEM018
36454.29738,0,seed_value,communications,,9
36454.297386,0,seed_output,communications,,OTL422
36454.297426,0,seed_value,communications,,10
36454.297431,0,seed_output,communications,,SBN790
36454.297473,0,seed_value,communications,,12
36454.297479,0,seed_output,communications,,PIV852
36454.297521,0,seed_value,communications,,14
36454.297526,0,seed_output,communications,,DTW834
36454.297567,0,seed_value,communications,,16
36454.297573,0,seed_output,communications,,LPP463
36454.297611,0,seed_value,communications,,17
36454.297616,0,seed_output,communications,,QNZ454
36454.297672,0,seed_value,communications,,18
36454.29768,0,seed_output,communications,,FDV753
36454.297698,0,seed_value,communications,,3
36454.297703,0,seed_output,communications,,114.900974
36454.297715,0,seed_value,communications,,4
36454.297719,0,seed_output,communications,,114.845395
36454.29773,0,seed_value,communications,,5
36454.297735,0,seed_output,communications,,126.064149
36454.297745,0,seed_value,communications,,6
36454.297749,0,seed_output,communications,,131.006862
36455.133088,0,dialog,,,OpenMATB end
36455.16229,0.008814,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
36455.162331,0.008814,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
36455.177102,0.008814,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
36455.177278,0.008814,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
36455.178977,0.008814,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
36455.180649,0.008814,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
36455.181026,0.008814,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
36455.182877,0.008814,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
36455.185467,0.008814,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
36455.187215,0.008814,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
36455.187236,0.008814,parameter,sysmon,title,System monitoring
36455.187244,0.008814,parameter,sysmon,taskplacement,topleft
36455.187249,0.008814,parameter,sysmon,taskupdatetime,200
36455.187255,0.008814,parameter,sysmon,taskfeedback-overdue-active,0
36455.187261,0.008814,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
36455.187266,0.008814,parameter,sysmon,taskfeedback-overdue-delayms,2000
36455.187271,0.008814,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
36455.187275,0.008814,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
36455.18728,0.008814,parameter,sysmon,taskfeedback-overdue-_is_visible,0
36455.187285,0.008814,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x7b02c61ad930>
36455.187292,0.008814,parameter,sysmon,alerttimeout,10000
