logtime,scenario_time,type,module,address,value
35604.29561,0,version,,,1.4.5
35604.295703,0,scenario_path,,,includes/scenarios/transparency_opaque.txt
35604.296054,0,seed_value,communications,,3
35604.296067,0,seed_output,communications,,HSR259
35604.29612,0,seed_value,communications,,5
35604.296127,0,seed_output,communications,,TIX580
35604.296186,0,seed_value,communications,,7
35604.296194,0,seed_output,communications,,KEM018
35604.29624,0,seed_value,communications,,9
35604.296246,0,seed_output,communications,,OTL422
35604.296285,0,seed_value,communications,,10
35604.296293,0,seed_output,communications,,SBN790
35604.296335,0,seed_value,communications,,12
35604.29634,0,seed_output,communications,,PIV852
35604.296381,0,seed_value,communications,,14
35604.296387,0,seed_output,communications,,DTW834
35604.296453,0,seed_value,communications,,1
35604.296461,0,seed_output,communications,,111.896563
35604.296476,0,seed_value,communications,,2
35604.29648,0,seed_output,communications,,135.724994
35604.296492,0,seed_value,communications,,3
35604.296495,0,seed_output,communications,,114.900974
35604.296506,0,seed_value,communications,,4
35604.29651,0,seed_output,communications,,114.845395
35605.210675,0,dialog,,,OpenMATB end
35605.241328,0.008564,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
35605.241369,0.008564,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
35605.257529,0.008564,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
35605.257694,0.008564,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
35605.262877,0.008564,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
35605.264456,0.008564,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
35605.264861,0.008564,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
35605.266753,0.008564,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
35605.268245,0.008564,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
35605.269939,0.008564,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
35605.269968,0.008564,parameter,sysmon,title,System monitoring
35605.269977,0.008564,parameter,sysmon,taskplacement,topleft
35605.269982,0.008564,parameter,sysmon,taskupdatetime,200
35605.269989,0.008564,parameter,sysmon,taskfeedback-overdue-active,0
35605.269994,0.008564,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
35605.27,0.008564,parameter,sysmon,taskfeedback-overdue-delayms,2000
