logtime,scenario_time,type,module,address,value
36137.149206,0,version,,,1.4.5
36137.149289,0,scenario_path,,,includes/scenarios/transparency_opaque.txt
36137.149647,0,seed_value,communications,,4
36137.149657,0,seed_output,communications,,HJD672
36137.149718,0,seed_value,communications,,6
36137.149724,0,seed_output,communications,,ZSC740
36137.149768,0,seed_value,communications,,8
36137.149773,0,seed_output,communications,,HLM230
36137.149814,0,seed_value,communications,,10
36137.149819,0,seed_output,communications,,SBN790
36137.14986,0,seed_value,communications,,12
36137.149865,0,seed_output,communications,,PIV852
36137.149904,0,seed_value,communications,,14
36137.14991,0,seed_output,communications,,DTW834
36137.149926,0,seed_value,communications,,2
36137.14993,0,seed_output,communications,,135.724994
36137.149943,0,seed_value,communications,,3
36137.149947,0,seed_output,communications,,114.900974
36137.149958,0,seed_value,communications,,4
36137.149963,0,seed_output,communications,,114.845395
36137.149973,0,seed_value,communications,,5
36137.149977,0,seed_output,communications,,126.064149
36137.934885,0,dialog,,,OpenMATB end
36137.968239,0.008132,aoi,sysmon,foreground,"(0, 1140.0, 576, 600.0)"
36137.96828,0.008132,aoi,sysmon,overdue,"(0, 1140.0, 576, 600.0)"
36137.987078,0.008132,aoi,sysmon,task_title,"(0, 1200.0, 576, 1140.0)"
36137.987237,0.008132,aoi,sysmon,automode,"(244.8, 658.5, 331.2, 628.5)"
36137.989647,0.008132,aoi,sysmon,scale1,"(43.2, 951.0, 100.80000000000001, 681.0)"
36137.991254,0.008132,aoi,sysmon,scale2,"(187.2, 951.0, 244.79999999999998, 681.0)"
36137.99159,0.008132,aoi,sysmon,scale3,"(331.2, 951.0, 388.8, 681.0)"
36137.994705,0.008132,aoi,sysmon,scale4,"(475.2, 951.0, 532.8, 681.0)"
36137.998355,0.008132,aoi,sysmon,light1,"(28.799999999999997, 1086.0, 259.2, 1005.0)"
36137.999973,0.008132,aoi,sysmon,light2,"(316.8, 1086.0, 547.2, 1005.0)"
36137.999995,0.008132,parameter,sysmon,title,System monitoring
36138.000024,0.008132,parameter,sysmon,taskplacement,topleft
36138.000031,0.008132,parameter,sysmon,taskupdatetime,200
36138.000039,0.008132,parameter,sysmon,taskfeedback-overdue-active,0
36138.000044,0.008132,parameter,sysmon,taskfeedback-overdue-color,"(241, 100, 100, 255)"
36138.000049,0.008132,parameter,sysmon,taskfeedback-overdue-delayms,2000
36138.000054,0.008132,parameter,sysmon,taskfeedback-overdue-blinkdurationms,1000
36138.000059,0.008132,parameter,sysmon,taskfeedback-overdue-_nexttoggletime,0
36138.000064,0.008132,parameter,sysmon,taskfeedback-overdue-_is_visible,0
36138.000069,0.008132,parameter,sysmon,taskfeedback-overdue-widget,<core.widgets.frame.Frame object at 0x70d2d0173790>
36138.000075,0.008132,parameter,sysmon,alerttimeout,10000
36138.000079,0.008132,parameter,sysmon,automaticsolver,0
36138.000083,0.008132,parameter,sysmon,automaticsolverdelay,1000
36138.000087,0.008132,parameter,sysmon,displayautomationstate,1
36138.000091,0.008132,parameter,sysmon,allowanykey,0
36138.000096,0.008132,parameter,sysmon,allowmanualoverride,0
36138.0001,0.008132,parameter,sysmon,feedbackduration,1500
36138.000105,0.008132,parameter,sysmon,feedbacks-positive-active,1
36138.000109,0.008132,parameter,sysmon,feedbacks-positive-color,"(142, 219, 176, 255)"
36138.000117,0.008132,parameter,sysmon,feedbacks-negative-active,1
36138.000122,0.008132,parameter,sysmon,feedbacks-negative-color,"(241, 100, 100, 255)"
36138.000127,0.008132,parameter,sysmon,lights-1-name,F5
36138.000131,0.008132,parameter,sysmon,lights-1-failure,0
36138.000136,0.008132,parameter,sysmon,lights-1-default,on
36138.00014,0.008132,parameter,sysmon,lights-1-oncolor,"(142, 219, 176, 255)"
36138.000144,0.008132,parameter,sysmon,lights-1-key,F5
36138.000148,0.008132,parameter,sysmon,lights-1-on,1
36138.000152,0.008132,parameter,sysmon,lights-1-_failuretimer,
36138.000156,0.008132,parameter,sysmon,lights-1-_onfailure,0
36138.00016,0.008132,parameter,sysmon,lights-1-_milliresponsetime,0
36138.000165,0.008132,parameter,sysmon,lights-1-_freezetimer,
36138.00017,0.008132,parameter,sysmon,lights-1-widget,<core.widgets.light.Light object at 0x70d2c4d2dea0>
36138.000175,0.008132,parameter,sysmon,lights-2-name,F6
36138.000179,0.008132,parameter,sysmon,lights-2-failure,0
36138.000183,0.008132,parameter,sysmon,lights-2-default,off
36138.000187,0.008132,parameter,sysmon,lights-2-oncolor,"(241, 100, 100, 255)"
36138.000191,0.008132,parameter,sysmon,lights-2-key,F6
36138.000195,0.008132,parameter,sysmon,lights-2-on,0
36138.000199,0.008132,parameter,sysmon,lights-2-_failuretimer,
36138.000203,0.008132,parameter,sysmon,lights-2-_onfailure,0
36138.000207,0.008132,parameter,sysmon,lights-2-_milliresponsetime,0
36138.000211,0.008132,parameter,sysmon,lights-2-_freezetimer,
36138.000215,0.008132,parameter,sysmon,lights-2-widget,<core.widgets.light.Light object at 0x70d2c4d2f8b0>
36138.000221,0.008132,parameter,sysmon,scales-1-name,F1
36138.000225,0.008132,parameter,sysmon,scales-1-failure,0
36138.000229,0.008132,parameter,sysmon,scales-1-side,0
36138.000233,0.008132,parameter,sysmon,scales-1-key,F1
36138.000237,0.008132,parameter,sysmon,scales-1-_failuretimer,
36138.000241,0.008132,parameter,sysmon,scales-1-_onfailure,0
36138.000245,0.008132,parameter,sysmon,scales-1-_milliresponsetime,0
36138.000249,0.008132,parameter,sysmon,scales-1-_freezetimer,
36138.000253,0.008132,parameter,sysmon,scales-1-_pos,5
36138.000257,0.008132,parameter,sysmon,scales-1-_zone,0
36138.000261,0.008132,parameter,sysmon,scales-1-_feedbacktimer,
36138.000264,0.008132,parameter,sysmon,scales-1-_feedbacktype,
36138.000269,0.008132,parameter,sysmon,scales-1-widget,<core.widgets.scale.Scale object at 0x70d2d01e8c70>
36138.000274,0.008132,parameter,sysmon,scales-2-name,F2
36138.000279,0.008132,parameter,sysmon,scales-2-failure,0
36138.000284,0.008132,parameter,sysmon,scales-2-side,0
36138.000288,0.008132,parameter,sysmon,scales-2-key,F2
36138.000292,0.008132,parameter,sysmon,scales-2-_failuretimer,
36138.000296,0.008132,parameter,sysmon,scales-2-_onfailure,0
36138.0003,0.008132,parameter,sysmon,scales-2-_milliresponsetime,0
36138.000304,0.008132,parameter,sysmon,scales-2-_freezetimer,
36138.000308,0.008132,parameter,sysmon,scales-2-_pos,5
36138.000311,0.008132,parameter,sysmon,scales-2-_zone,0
36138.000316,0.008132,parameter,sysmon,scales-2-_feedbacktimer,
36138.00032,0.008132,parameter,sysmon,scales-2-_feedbacktype,
36138.000326,0.008132,parameter,sysmon,scales-2-widget,<core.widgets.scale.Scale object at 0x70d2d01ea1a0>
36138.000332,0.008132,parameter,sysmon,scales-3-name,F3
36138.000336,0.008132,parameter,sysmon,scales-3-failure,0
36138.00034,0.008132,parameter,sysmon,scales-3-side,0
36138.000344,0.008132,parameter,sysmon,scales-3-key,F3
36138.000348,0.008132,parameter,sysmon,scales-3-_failuretimer,
36138.000351,0.008132,parameter,sysmon,scales-3-_onfailure,0
36138.000356,0.008132,parameter,sysmon,scales-3-_milliresponsetime,0
36138.00036,0.008132,parameter,sysmon,scales-3-_freezetimer,
36138.000364,0.008132,parameter,sysmon,scales-3-_pos,5
36138.000368,0.008132,parameter,sysmon,scales-3-_zone,0
36138.000372,0.008132,parameter,sysmon,scales-3-_feedbacktimer,
36138.000376,0.008132,parameter,sysmon,scales-3-_feedbacktype,
36138.00038,0.008132,parameter,sysmon,scales-3-widget,<core.widgets.scale.Scale object at 0x70d2d01eb5b0>
36138.000387,0.008132,parameter,sysmon,scales-4-name,F4
36138.000391,0.008132,parameter,sysmon,scales-4-failure,0
36138.000395,0.008132,parameter,sysmon,scales-4-side,0
36138.000399,0.008132,parameter,sysmon,scales-4-key,F4
36138.000403,0.008132,parameter,sysmon,scales-4-_failuretimer,
36138.000407,0.008132,parameter,sysmon,scales-4-_onfailure,0
36138.000411,0.008132,parameter,sysmon,scales-4-_milliresponsetime,0
36138.000415,0.008132,parameter,sysmon,scales-4-_freezetimer,
36138.000419,0.008132,parameter,sysmon,scales-4-_pos,5
36138.000423,0.008132,parameter,sysmon,scales-4-_zone,0
36138.000427,0.008132,parameter,sysmon,scales-4-_feedbacktimer,
36138.000431,0.008132,parameter,sysmon,scales-4-_feedbacktype,
36138.000435,0.008132,parameter,sysmon,scales-4-widget,<core.widgets.scale.Scale object at 0x70d2c4d2ca60>
36138.000992,0.008132,state,sysmon,"foreground, visibility",1
36138.001098,0.008132,state,sysmon,"overdue, visibility",1
36138.003616,0.008132,state,sysmon,"foreground, visibility",0
36138.003639,0.008132,state,sysmon,"overdue, visibility",0
36138.003653,0.008132,event,sysmon,self,start
36138.229414,0.008132,dialog,,,Warning end
36138.229627,0.017245,seed_value,sysmon,,5
36138.22964,0.017245,seed_output,sysmon,,1
36138.229655,0.017245,seed_value,sysmon,,6
36138.22966,0.017245,seed_output,sysmon,,-1
36138.229671,0.017245,seed_value,sysmon,,7
36138.229676,0.017245,seed_output,sysmon,,1
36138.229687,0.017245,seed_value,sysmon,,8
36138.229691,0.017245,seed_output,sysmon,,-1
36138.23471,0.017245,state,sysmon,"automode, text",MANUAL
36138.234798,0.017245,state,sysmon,"scale1, arrow",6
